CONSTRUCTORID,CONSTRUCTOR_NAME,YEAR,RACES,SEASON_POINTS,WINS,PODIUMS,DNFS,AVG_GRID,AVG_FINISH,AVG_POSITIONS_GAINED
4,Renault,2017,20,57.0,0,0,30,11.75,13.25,-1.50
4,Renault,2018,21,122.0,0,0,25,10.64,11.07,-0.43
4,Renault,2019,21,91.0,0,0,27,10.52,11.98,-1.45
4,Renault,2020,17,181.0,0,3,13,8.82,8.94,-0.12
15,Sauber,2014,19,0.0,0,0,35,15.18,16.21,-1.03
15,Sauber,2015,19,36.0,0,0,25,13.95,12.55,1.39
15,Sauber,2016,21,2.0,0,0,41,18.17,15.93,2.24
15,Sauber,2017,20,5.0,0,0,37,16.68,15.10,1.58
15,Sauber,2018,21,48.0,0,0,31,13.83,12.79,1.05
15,Sauber,2024,24,4.0,0,0,37,15.50,15.67,-0.17
5,Toro Rosso,2014,19,30.0,0,0,22,11.45,13.29,-1.84
5,Toro Rosso,2015,19,67.0,0,0,25,11.34,11.89,-0.55
5,Toro Rosso,2016,21,63.0,0,0,27,12.02,13.17,-1.14
5,Toro Rosso,2017,20,53.0,0,0,34,13.53,13.10,0.43
5,Toro Rosso,2018,21,33.0,0,0,33,14.05,13.88,0.17
5,Toro Rosso,2019,21,85.0,0,2,25,12.38,11.50,0.88
3,Williams,2014,19,320.0,0,9,9,6.84,7.82,-0.97
3,Williams,2015,19,257.0,0,4,12,6.74,8.50,-1.76
3,Williams,2016,21,138.0,0,1,20,9.07,10.52,-1.45
3,Williams,2017,20,83.0,0,1,29,12.43,11.50,0.93
3,Williams,2018,21,7.0,0,0,36,16.33,14.90,1.43
3,Williams,2019,21,1.0,0,0,38,16.36,16.40,-0.05
3,Williams,2020,17,0.0,0,0,24,16.06,15.74,0.32
3,Williams,2021,22,23.0,0,1,35,14.11,14.73,-0.61
3,Williams,2022,22,8.0,0,0,27,16.39,14.95,1.43
3,Williams,2023,22,26.0,0,0,20,13.93,14.11,-0.18
3,Williams,2024,24,17.0,0,0,33,13.89,15.13,-1.23
