YEAR,NAME,DATE,DRIVER_NAME,DRIVER_NATIONALITY,CONSTRUCTOR_NAME,CONSTRUCTOR_NATIONALITY,POINTS,LAPS,FASTESTLAPTIME,STARTING_POSITION,POSITIONS_GAINED
2022,Emilia Romagna Grand Prix,2022-04-24,Max Verstappen,Dutch,Red Bull,Austrian,26.0,63,1:18.446,1,0
2022,Australian Grand Prix,2022-04-10,Charles Leclerc,Monegasque,Ferrari,Italian,26.0,58,1:20.260,1,0
2022,Saudi Arabian Grand Prix,2022-03-27,Max Verstappen,Dutch,Red Bull,Austrian,25.0,50,1:31.772,4,3
2022,Bahrain Grand Prix,2022-03-20,Charles Leclerc,Monegasque,Ferrari,Italian,26.0,57,1:34.570,1,0
2021,Abu Dhabi Grand Prix,2021-12-12,Max Verstappen,Dutch,Red Bull,Austrian,26.0,58,1:26.103,1,0
2021,Saudi Arabian Grand Prix,2021-12-05,Lewis Hamilton,British,Mercedes,German,26.0,50,1:30.734,1,0
2021,Qatar Grand Prix,2021-11-21,Lewis Hamilton,British,Mercedes,German,25.0,57,1:25.084,1,0
2021,São Paulo Grand Prix,2021-11-14,Lewis Hamilton,British,Mercedes,German,25.0,71,1:11.982,10,9
2021,Mexico City Grand Prix,2021-11-07,Max Verstappen,Dutch,Red Bull,Austrian,25.0,71,1:18.999,3,2
2021,United States Grand Prix,2021-10-24,Max Verstappen,Dutch,Red Bull,Austrian,25.0,56,1:39.096,1,0
2021,Turkish Grand Prix,2021-10-10,Valtteri Bottas,Finnish,Mercedes,German,26.0,58,1:30.432,1,0
2021,Russian Grand Prix,2021-09-26,Lewis Hamilton,British,Mercedes,German,25.0,53,1:37.575,4,3
2021,Italian Grand Prix,2021-09-12,Daniel Ricciardo,Australian,McLaren,British,26.0,53,1:24.812,2,1
2021,Dutch Grand Prix,2021-09-05,Max Verstappen,Dutch,Red Bull,Austrian,25.0,72,1:13.275,1,0
2021,Belgian Grand Prix,2021-08-29,Max Verstappen,Dutch,Red Bull,Austrian,12.5,1,,1,0
